age;player_height;player_weight;college;country;draft_year;draft_round
27;200.66;97.52228;Nebraska;USA;1994;1
28;213.36;111.13004;Michigan;USA;1993;2
25;190.5;92.532768;Michigan State;USA;1995;2
23;203.2;99.79024;Mississippi State;USA;1996;1
25;203.2;99.79024;Providence;USA;1995;1
39;200.66;97.52228;Illinois;USA;1981;2
29;177.8;72.57472;Northern Illinois;USA;Undrafted;Undrafted
23;185.42;90.7184;Arkansas-Little Rock;USA;1996;1
24;203.2;113.398;Georgetown;USA;1995;2
27;180.34;77.11064;UCLA;USA;Undrafted;Undrafted
22;210.82;120.20188;Mississippi State;USA;1996;1
24;200.66;104.32616;Texas Tech;USA;Undrafted;Undrafted
30;203.2;99.79024;Alabama;USA;Undrafted;Undrafted
32;215.9;113.398;Navy;USA;1987;1
25;205.74;108.86208;Memphis;USA;1995;1
27;185.42;91.625584;Baylor;USA;Undrafted;Undrafted
34;195.58;83.91452;Georgetown;USA;1986;2
24;182.88;74.84268;Louisville;USA;1997;2
31;210.82;113.398;Indiana;USA;1988;2
29;187.96;83.91452;Jacksonville;USA;1990;1
32;203.2;98.883056;Notre Dame;USA;1987;3
34;195.58;92.98636;Virginia Tech;USA;1986;1
29;203.2;103.872568;Georgia Tech;USA;1990;1
23;195.58;88.45044;Kentucky;USA;1997;1
23;205.74;104.32616;Missouri;USA;Undrafted;Undrafted
36;193.04;93.439952;Illinois;USA;1983;1
30;205.74;108.86208;Xavier;USA;1990;2
31;208.28;117.93392;Syracuse;USA;1990;1
31;208.28;102.0582;Alabama;USA;1987;1
35;208.28;106.59412;Washington;USA;1985;1
26;205.74;119.748288;Providence;USA;1994;1
32;218.44;118.387512;Georgetown;Congo;1991;1
28;208.28;106.59412;UCLA;USA;1992;1
37;198.12;99.79024;Southeastern Oklahoma State;USA;1986;2
24;190.5;95.25432;Nebraska;USA;Undrafted;Undrafted
32;205.74;102.0582;Oklahoma;USA;1988;1
25;205.74;99.79024;Auburn-Montgomery;USA;Undrafted;Undrafted
35;210.82;111.13004;Tulane;USA;1985;2
25;187.96;81.64656;Boston College;USA;1994;2
28;195.58;83.007336;North Carolina;USA;1992;1
28;208.28;122.46984;Arizona State;USA;1991;2
27;195.58;97.52228;Nevada-Las Vegas;USA;1993;1
27;208.28;111.13004;Georgia Tech;USA;1994;Undrafted
30;208.28;112.037224;North Carolina;USA;1989;1
34;208.28;108.86208;UCLA;USA;1987;4
23;185.42;86.18248;Kansas;USA;1997;1
25;203.2;95.25432;Michigan;USA;1994;1
25;203.2;113.398;Kentucky;USA;1993;1
24;193.04;88.904032;Florida State;USA;1997;2
22;195.58;99.79024;Long Beach State;USA;1997;2
27;187.96;81.64656;Alabama;USA;1993;1
23;203.2;115.66596;Michigan State;USA;1996;2
30;198.12;97.52228;Georgetown;USA;Undrafted;Undrafted
25;203.2;116.119552;Alabama;USA;1995;1
25;193.04;96.161504;California;USA;1994;1
23;210.82;108.86208;Villanova;USA;1997;2
30;208.28;111.13004;St. John's (NY);USA;1990;1
32;195.58;95.25432;Iowa State;USA;1988;1
35;193.04;86.18248;Iowa State;USA;1986;2
30;185.42;81.64656;Fayetteville State;USA;Undrafted;Undrafted
24;210.82;129.27372;Grand Canyon;USA;Undrafted;Undrafted
32;208.28;111.13004;Clemson;USA;1987;1
31;190.5;90.7184;Bradley;USA;1988;1
40;208.28;109.769264;Ohio State;USA;1981;1
30;213.36;120.20188;Louisville;USA;1990;1
25;193.04;92.079176;Iowa State;USA;1995;2
33;190.5;83.91452;Michigan;USA;1988;1
29;193.04;81.64656;Oregon State;USA;1990;1
25;200.66;102.0582;Wisconsin-Green Bay;USA;1996;2
27;203.2;103.418976;North Carolina;USA;1993;1
